function	variable	requiredType	sourceFile
UI_ScrollConfigListVertical	gnUICtrlConfigHoveredControl	D2ConfigControlDescStrc *	D2Client/UI/ControlConfig.cpp
Forms::D2WINEDITBOX_SetPasswordMode	gbPasswordChangeInProgress	D2ControlStrc *	D2Client/MainMenus.cpp
Forms::StoreLastKnownIpTcpIp	gbPasswordChangeInProgress	D2ControlStrc *	D2Client/MainMenus.cpp
Engine::GfxInfo::D2GFX_DrawSolidRectExBySize	gpEscMenuOptBarDC6	DC6 *	D2Client/UI/EscMenu.cpp
builtin_strncpy	gpAncientsBgDC6	DC6 *	D2Game/Game/View.cpp
Fog::SMem::SMemFree	gpWardenPendingModule	WardenClient *	D2Client/Warden/WardenClient.cpp
RENDERER_GLIDE_SetTextureFiltering	gfGlideLightVertexY	float *	D2Client/Renderer/Glide.cpp
QSERVER_KillConnection	nClientId	struct D2QServerClientConnectionStrc *	D2Game/Game/Server.cpp
UI_GetRosterPlayerInfoForDisplay	nOwnerGUID	struct D2RosterStrc *	D2Client/UI.cpp
memset	gpRosterOther	struct D2RosterStrc *	D2Game/Game/Roster.cpp
D2Client::D2GFX::D2GFX_DrawImage	gnDrawBackgroundRenderOffset	struct DC6 *	D2Game/Game/View.cpp
D2GFX::D2GFX_DrawImage	WaypointWayGateTabs	struct DC6 *	D2Client/UI/Waypoint.cpp
D2GFX::D2GFX_DrawImage	WaypointWaygateIcons	struct DC6 *	D2Client/UI/Waypoint.cpp
D2GFX::D2GFX_DrawImage	gpInvBodySlotImage1	struct DC6 *	D2Client/UI/Inv.cpp
D2GFX::D2GFX_DrawImage	gpInvBodySlotImage2	struct DC6 *	D2Client/UI/Inv.cpp
D2GFX::D2GFX_DrawImage	gpInvBodySlotImage4	struct DC6 *	D2Client/UI/Inv.cpp
D2GFX::D2GFX_DrawImage	gpInvCubeImage4	struct DC6 *	D2Client/UI/Inv.cpp
D2GFX::D2GFX_DrawImage	gpInvMercArmorSlotImage	struct DC6 *	D2Client/UI/Inv.cpp
D2GFX::D2GFX_DrawImage	gpInvMercHelmetSlotImage	struct DC6 *	D2Client/UI/Inv.cpp
D2GFX::D2GFX_DrawImage	gpInvMercWeaponSlotImage1	struct DC6 *	D2Client/UI/Inv.cpp
D2GFX::D2GFX_DrawImage	gpInvMercWeaponSlotImage2	struct DC6 *	D2Client/UI/Inv.cpp
D2GFX::D2GFX_DrawImage	gpInvShopTab1Image	struct DC6 *	D2Client/UI/Inv.cpp
D2GFX::D2GFX_DrawImage	gpInvShopTabImage	struct DC6 *	D2Client/UI/Inv.cpp
D2Game::Game::Msg::NET_D2GS_CLIENT_Send_SHORT_SHORT_SHORT	gpInvCubeBgImage	struct DC6 *	D2Client/UI/Inv.cpp
DRAW_UI_InventoryContent	UI_GFX	struct DC6 *	D2Client/UI/Inv.cpp
Engine::GfxInfo::D2GFX_DrawSolidRectExBySize	gnLoadedActIndex	struct DC6 *	D2Client/UI/Draw.cpp
InitializeiInventoryPages	gpInvBodySlotImage4	struct DC6 *	D2Client/UI/Inv.cpp
_sprintf	gpQuestScrollImageBottom	struct DC6 *	D2Client/UI/Text.cpp
memset	WaypointWayGateBackGround	struct DC6 *	D2Client/UI/Waypoint.cpp
memset	_gpUICtrlConfigScrollbarDC6	struct DC6 *	D2Client/UI/ControlConfig.cpp
memset	gpEscMenuOptSkullDC6	struct DC6 *	D2Client/UI/EscMenu.cpp
memset	gpHoradricBackgroundDC6	struct DC6 *	D2Client/UI/UseItem.cpp
memset	gpInvGoldCoinImage	struct DC6 *	D2Client/UI/Inv.cpp
memset	gpInvMercBodyImage	struct DC6 *	D2Client/UI/Inv.cpp
memset	gpInvMercHelmetSlotImage	struct DC6 *	D2Client/UI/Inv.cpp
memset	gpInvStashImage1	struct DC6 *	D2Client/UI/Inv.cpp
memset	gpInvStashImage2	struct DC6 *	D2Client/UI/Inv.cpp
memset	gpMessageLogDC6	struct DC6 *	D2Client/UI/ListBoxImplementation.cpp
memset	gpMiniPanelBackgroundDC6	struct DC6 *	D2Client/UI/MiniPanel.cpp
memset	gpMiniPanelButtonsDC6	struct DC6 *	D2Client/UI/MiniPanel.cpp
memset	gpNpcMenuShopInventoryDC6	struct DC6 *	D2Client/UI/Inv.cpp
memset	gpPentSpinCursorDC6	struct DC6 *	D2Client/Forms/D2WinList.cpp
memset	gpQuestScrollImageTop	struct DC6 *	D2Client/UI/Text.cpp
memset	gpUpgradeMenuDC6	struct DC6 *	D2Client/UI/UseItem.cpp
AUTOMAP_InitPaletteColors	nAutoMapColorGreen	infer-from-field:_0_1_	D2Client/UI/Automap.cpp
D2Common::Dungeon::ToggleHasPortalFlag	nEscapePortalGUID	infer-from-field:_0_1_	D2Game/Quests/A5Q2.cpp
D2Common::Unit::SUnit::IteratePlayerOrMonsterUnits	sVar1	infer-from-field:_0_1_	D2Game/Quests/A1Q5.cpp
D2Common::Units::GetCoords	nEscapePortalGUID	infer-from-field:_0_1_	D2Game/Quests/A5Q2.cpp
D2WINEDITBOX_HandleDelete	nTypeCheck	infer-from-field:_0_1_	D2Client/Forms/D2WinEditBox.cpp
D2Win::D2WinMain::D2WINMAIN_SetFormFourth	gnLobbyTabCompletionIndex	infer-from-field:_0_1_	D2Client/OOGUtilities.cpp
D2_ASSERT	nWarpDest	infer-from-field:_0_1_	D2Common/Drlg/RoomTile.cpp
D3D_InvalidateTileCachesForEntry	iVar1	infer-from-field:_0_1_	D2Client/d3dFloorCache.cpp
D3D_InvalidateTileCachesForEntry	iVar4	infer-from-field:_0_1_	D2Client/d3dFloorCache.cpp
FindSpawnableLocation	nEscapePortalGUID	infer-from-field:_0_1_	D2Game/Quests/A5Q2.cpp
Fog::ErrorManager::ERROR_UnrecoverableInternalError_Halt	nIdaStarInitCopy	infer-from-field:_0_1_	D2Common/Path/DynamicPath.cpp
Fog::ErrorManager::ERROR_UnrecoverableInternalError_Halt	savedChecksum2	infer-from-field:_0_1_	D2Game/Player/PlayerSave.cpp
Fog::ErrorManager::ERROR_UnrecoverableInternalError_Halt	savedInitSeed	infer-from-field:_0_1_	D2Game/Player/PlayerSave.cpp
Fog::ErrorManager::ERROR_UnrecoverableInternalError_Halt	savedNTimeEx	infer-from-field:_0_1_	D2Game/Player/PlayerSave.cpp
Fog::ErrorManager::ERROR_UnrecoverableInternalError_Halt	savedTime32	infer-from-field:_0_1_	D2Game/Player/PlayerSave.cpp
Fog::File::CONTAINER_InitializeBuffer	bIgnored1	infer-from-field:_0_1_	D2Client/UI/Chat.cpp
NET_D2GS_CLIENT_Send_0x5D	nPlayerGUID	infer-from-field:_0_1_	D2Game/Game/Msg.cpp
Objects_InitFn01	nShrineTypeOrRetries	infer-from-field:_0_1_	D2Game/Objects/Objects.cpp
Objects_InitFn66	nObjectGUID	infer-from-field:_0_1_	D2Game/Quests/Quest40.cpp
Objects_InitFn68	dwFrozensteinFlags	infer-from-field:_0_1_	D2Game/Quests/A5Q3.cpp
Q05_Callback_03	sVar1	infer-from-field:_0_1_	D2Game/Quests/A1Q5.cpp
Q05_Callback_11	sVar1	infer-from-field:_0_1_	D2Game/Quests/A1Q5.cpp
Q12_IsSanctuaryComplete	sVar1	infer-from-field:_0_1_	D2Game/Quests/A2Q4.cpp
Q33_SpawnPortalNearAnya	nPortalX	infer-from-field:_0_1_	D2Game/Quests/A5Q3.cpp
QUEST_SendNpcGossipPacket	nPlayerClassId	infer-from-field:_0_1_	D2Game/Quests/A5Q3.cpp
QUEST_SetQuestRecordState	nPlayerCount	infer-from-field:_0_1_	D2Game/Quests/A1Q5.cpp
Stats::StatsEx::STATLIST_AttachStatListToUnit	nBaseStatVal	infer-from-field:_0_1_	D2Common/Unit/PlrSkills.cpp
TSHASH_DtorMappingHashTable	nSehState	infer-from-field:_0_1_	D2Client/Chat/IgnoreList.cpp
TSHASH_FreeAllBucketMappingEntries	nSehState	infer-from-field:_0_1_	D2Client/Chat/IgnoreList.cpp
CLIENT_GetMonsterNameColor	nClassId	infer-from-field:_0_2_	D2Common/Unit/Monster.cpp
CLIENT_UpdateSkillMissilePosition	nClassOrMode	infer-from-field:_0_2_	D2Common/Skills/SkillsBar.cpp
CLIENT_UpdateUnitNameplate	nUnitModeWord	infer-from-field:_0_2_	D2Common/Unit/Monster.cpp
CMD_GetKeyDescForCommand	nCmdSlot	infer-from-field:_0_2_	D2Client/UI/CmdTbl.cpp
CMD_GetKeyForCommand	nCmdSlot	infer-from-field:_0_2_	D2Client/UI/CmdTbl.cpp
CMD_GetKeyNameForCommand	nCmdSlot	infer-from-field:_0_2_	D2Client/UI/CmdTbl.cpp
CMD_IsCommandBound	nCmdSlot	infer-from-field:_0_2_	D2Client/UI/CmdTbl.cpp
CMD_SetKeyBinding	nCmdSlot	infer-from-field:_0_2_	D2Client/UI/CmdTbl.cpp
CMD_UnbindCommand	nCmdSlot	infer-from-field:_0_2_	D2Client/UI/CmdTbl.cpp
D2Sound::Sound::SOUND_PlaySound	gnUICtrlConfigPendingKeyStrId	infer-from-field:_0_2_	D2Client/UI.cpp
Draw::DRAW_RegisterDrawHandlers	gnUICtrlConfigPendingKeyStrId	infer-from-field:_0_2_	D2Client/UI.cpp
